ax,ay,az,gx,gy,gz,quality
-0.901123047,-0.151977539,0.334594727,9.033203125,9.765625,15.50292969,0
-0.901123047,-0.151977539,0.334594727,6.774902344,9.765625,15.50292969,0
-0.901123047,-0.151977539,0.334594727,6.774902344,-12.02392578,15.50292969,0
-0.901123047,-0.151977539,0.334594727,6.774902344,-12.02392578,-34.36279297,0
-0.901123047,-0.151977539,0.334594727,6.774902344,-12.02392578,-34.36279297,0
-1.017700195,-0.151977539,0.334594727,6.774902344,-12.02392578,-34.36279297,0
-1.017700195,-0.102416992,0.334594727,6.774902344,-12.02392578,-34.36279297,0
-1.017700195,-0.102416992,0.446411133,6.774902344,-12.02392578,-34.36279297,0
-1.017700195,-0.102416992,0.446411133,-8.850097656,-12.02392578,-34.36279297,0
-1.017700195,-0.102416992,0.446411133,-8.850097656,-0.061035156,-34.36279297,0
-1.017700195,-0.102416992,0.446411133,-8.850097656,-0.061035156,9.094238281,0
-0.912109375,-0.102416992,0.446411133,-8.850097656,-0.061035156,9.094238281,0
-0.912109375,-0.187011719,0.446411133,-8.850097656,-0.061035156,9.094238281,0
-0.912109375,-0.187011719,0.446411133,-8.850097656,-0.061035156,9.094238281,0
-0.912109375,-0.187011719,0.642700195,-8.850097656,-0.061035156,9.094238281,0
-0.912109375,-0.187011719,0.642700195,3.540039063,-0.061035156,9.094238281,0
-0.912109375,-0.187011719,0.642700195,3.540039063,10.07080078,9.094238281,0
-0.912109375,-0.187011719,0.642700195,3.540039063,10.07080078,22.58300781,0
-1.102783203,-0.187011719,0.642700195,3.540039063,10.07080078,22.58300781,0
-1.102783203,-0.187011719,0.642700195,3.540039063,10.07080078,22.58300781,0
-1.102783203,-0.097900391,0.642700195,3.540039063,10.07080078,22.58300781,0
-1.069702148,-0.016113281,0.259033203,45.22705078,-0.671386719,-0.915527344,1
-1.069702148,-0.016113281,0.259033203,-1.403808594,-0.671386719,-0.915527344,1
-1.069702148,-0.016113281,0.259033203,-1.403808594,-0.671386719,-0.915527344,1
-1.069702148,-0.016113281,0.259033203,-1.403808594,-15.01464844,-0.915527344,1
-1.069702148,-0.016113281,0.259033203,-1.403808594,-15.01464844,-3.41796875,1
-0.872680664,-0.016113281,0.259033203,-1.403808594,-15.01464844,-3.41796875,1
-0.872680664,0.145751953,0.259033203,-1.403808594,-15.01464844,-3.41796875,1
-0.872680664,0.145751953,0.099853516,-1.403808594,-15.01464844,-3.41796875,1
-0.872680664,0.145751953,0.099853516,-16.47949219,-15.01464844,-3.41796875,1
-0.872680664,0.145751953,0.099853516,-16.47949219,-27.09960938,-3.41796875,1
