time,ax,ay,az,gx,gy,gz,quality
1.5,-0.698364258,-0.872436523,0.276611328,14.83154297,2.807617188,55.96923828,2
1.6,-0.767822266,-0.872436523,0.276611328,14.83154297,2.807617188,55.96923828,2
1.7,-0.767822266,-0.818603516,0.276611328,14.83154297,2.807617188,55.96923828,2
1.8,-0.767822266,-0.818603516,0.219726563,14.83154297,2.807617188,55.96923828,2
1.9,-0.767822266,-0.818603516,0.219726563,-5.920410156,2.807617188,55.96923828,2
2.1,-0.767822266,-0.818603516,0.219726563,-5.920410156,6.164550781,55.96923828,2
2.1,-0.767822266,-0.818603516,0.219726563,-5.920410156,6.164550781,55.96923828,2
2.3,-0.767822266,-0.818603516,0.219726563,-5.920410156,6.164550781,-39.85595703,2
2.4,-0.871459961,-0.818603516,0.219726563,-5.920410156,6.164550781,-39.85595703,2
2.5,-0.871459961,-0.952758789,0.219726563,-5.920410156,6.164550781,-39.85595703,2
2.6,-0.871459961,-0.952758789,0.219726563,-5.920410156,6.164550781,-39.85595703,2
2.7,-0.871459961,-0.952758789,0.019165039,-5.920410156,6.164550781,-39.85595703,2
2.8,-0.871459961,-0.952758789,0.019165039,49.56054688,6.164550781,-39.85595703,2
2.9,-0.871459961,-0.952758789,0.019165039,49.56054688,-4.760742188,-39.85595703,2
3,-0.871459961,-0.952758789,0.019165039,49.56054688,-4.760742188,-73.48632813,2
3.1,0.271484375,-0.952758789,0.019165039,49.56054688,-4.760742188,-73.48632813,2
3.2,0.271484375,-0.656982422,0.019165039,49.56054688,-4.760742188,-73.48632813,2
3.3,0.271484375,-0.656982422,0.034545898,49.56054688,-4.760742188,-73.48632813,2
3.4,0.271484375,-0.656982422,0.034545898,-35.09521484,-4.760742188,-73.48632813,2
3.5,0.271484375,-0.656982422,0.034545898,-35.09521484,-4.760742188,-73.48632813,2
3.6,0.271484375,-0.656982422,0.034545898,-35.09521484,23.07128906,-73.48632813,2
3.7,0.271484375,-0.656982422,0.034545898,-35.09521484,23.07128906,112.3657227,2
3.8,-1.138183594,-0.656982422,0.034545898,-35.09521484,23.07128906,112.3657227,2
4,-1.138183594,-0.325927734,0.034545898,-35.09521484,23.07128906,112.3657227,2
4.1,-1.138183594,-0.325927734,0.020751953,-35.09521484,23.07128906,112.3657227,2
4.2,-1.138183594,-0.325927734,0.020751953,9.765625,23.07128906,112.3657227,2
4.3,-1.138183594,-0.325927734,0.020751953,9.765625,-38.33007813,112.3657227,2
4.4,-1.138183594,-0.325927734,0.020751953,9.765625,-38.33007813,112.3657227,2
4.5,-1.138183594,-0.325927734,0.020751953,9.765625,-38.33007813,-151.8554688,2
4.6,-0.297363281,-0.325927734,0.020751953,9.765625,-38.33007813,-151.8554688,2
4.7,-0.297363281,-0.720825195,0.020751953,9.765625,-38.33007813,-151.8554688,2
4.8,-0.297363281,-0.720825195,0.225585938,9.765625,-38.33007813,-151.8554688,2
4.9,-0.297363281,-0.720825195,0.225585938,-8.361816406,-38.33007813,-151.8554688,2
5,-0.297363281,-0.720825195,0.225585938,-8.361816406,-0.48828125,-151.8554688,2
5.1,-0.297363281,-0.720825195,0.225585938,-8.361816406,-0.48828125,134.6435547,2
5.2,-0.688476563,-0.720825195,0.225585938,-8.361816406,-0.48828125,134.6435547,2
5.3,-0.688476563,-0.820922852,0.225585938,-8.361816406,-0.48828125,134.6435547,2
5.4,-0.688476563,-0.820922852,0.225585938,-8.361816406,-0.48828125,134.6435547,2
5.5,-0.688476563,-0.820922852,0.208496094,-8.361816406,-0.48828125,134.6435547,2
