ax,ay,az,gx,gy,gz,quality
0.043457031,0.566040039,0.636352539,-101.6235352,-56.27441406,71.16699219,0
0.043457031,0.566040039,0.636352539,-20.26367188,-56.27441406,71.16699219,0
0.043457031,0.566040039,0.636352539,-20.26367188,-2.075195313,71.16699219,0
0.043457031,0.566040039,0.636352539,-20.26367188,-2.075195313,71.16699219,0
0.043457031,0.566040039,0.636352539,-20.26367188,-2.075195313,-0.305175781,0
0.547851563,0.566040039,0.636352539,-20.26367188,-2.075195313,-0.305175781,0
0.547851563,0.41418457,0.636352539,-20.26367188,-2.075195313,-0.305175781,0
0.547851563,0.41418457,0.636352539,-20.26367188,-2.075195313,-0.305175781,0
0.547851563,0.41418457,0.622314453,-20.26367188,-2.075195313,-0.305175781,0
0.547851563,0.41418457,0.622314453,60.30273438,-2.075195313,-0.305175781,0
0.547851563,0.41418457,0.622314453,60.30273438,38.87939453,-0.305175781,0
0.547851563,0.41418457,0.622314453,60.30273438,38.87939453,-0.305175781,0
0.547851563,0.41418457,0.622314453,60.30273438,38.87939453,-41.68701172,0
0.547851563,0.41418457,0.622314453,60.30273438,38.87939453,-41.68701172,0
-0.5390625,0.41418457,0.622314453,60.30273438,38.87939453,-41.68701172,0
-0.5390625,0.911132813,0.622314453,60.30273438,38.87939453,-41.68701172,0
-0.5390625,0.911132813,-0.376098633,60.30273438,38.87939453,-41.68701172,0
-0.5390625,0.911132813,-0.376098633,17.70019531,38.87939453,-41.68701172,0
-0.5390625,0.911132813,-0.376098633,17.70019531,7.690429688,-41.68701172,0
-0.5390625,0.911132813,-0.376098633,17.70019531,7.690429688,-21.24023438,0
-0.631469727,0.911132813,-0.376098633,17.70019531,7.690429688,-21.24023438,0
-0.631469727,0.911132813,-0.376098633,17.70019531,7.690429688,-21.24023438,0
-0.631469727,0.603027344,-0.376098633,17.70019531,7.690429688,-21.24023438,0
-0.631469727,0.603027344,-0.739013672,17.70019531,7.690429688,-21.24023438,0
-0.631469727,0.603027344,-0.739013672,-111.2060547,7.690429688,-21.24023438,0
-0.631469727,0.603027344,-0.739013672,-111.2060547,-59.87548828,-21.24023438,0
-0.631469727,0.603027344,-0.739013672,-111.2060547,-59.87548828,-21.24023438,0
-0.631469727,0.603027344,-0.739013672,-111.2060547,-59.87548828,80.74951172,0
0.208251953,0.603027344,-0.739013672,-111.2060547,-59.87548828,80.74951172,0
0.208251953,0.548828125,-0.739013672,-111.2060547,-59.87548828,80.74951172,0
0.208251953,0.548828125,0.701416016,-111.2060547,-59.87548828,80.74951172,0
0.208251953,0.548828125,0.701416016,-111.2060547,-59.87548828,80.74951172,0
0.208251953,0.548828125,0.701416016,-26.55029297,-59.87548828,80.74951172,0
0.208251953,0.548828125,0.701416016,-26.55029297,-13.30566406,80.74951172,0
0.208251953,0.548828125,0.701416016,-26.55029297,-13.30566406,12.32910156,0
0.704223633,0.548828125,0.701416016,-26.55029297,-13.30566406,12.32910156,0
0.704223633,0.275756836,0.701416016,-26.55029297,-13.30566406,12.32910156,0
0.704223633,0.275756836,0.81652832,-26.55029297,-13.30566406,12.32910156,0
0.704223633,0.275756836,0.81652832,69.82421875,-13.30566406,12.32910156,0
0.704223633,0.275756836,0.81652832,69.82421875,47.18017578,12.32910156,0
0.704223633,0.275756836,0.81652832,69.82421875,47.18017578,12.32910156,0
